Number, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ
12499, 1.1013272, 3.3686244, 9.8329363, -4.5267177, 1.7328244, -11.2595415
12500, 0.7302278, 3.9671719, 9.9598284, -6.8931298, 5.4885497, -12.5343513
12501, 0.0167593, 4.6566987, 10.2351599, -7.8702292, 5.5267177, -12.0763359
12502, -0.3998296, 5.8322453, 10.5009146, -8.6870232, -0.0305344, -11.4503813
12503, 0.0359128, 7.0149751, 11.0443964, -11.1221371, -4.0000000, -13.9618320
12504, 0.1173153, 7.9582858, 11.4801388, -14.4656487, -4.0687022, -19.8473282
12505, -0.4764437, 8.5376797, 12.2558556, -16.6717548, -12.3740454, -22.3053436
12506, -0.7158626, 9.0739784, 13.2398672, -16.3816795, -24.2748089, -20.7480907
12507, -0.8690908, 9.7299862, 14.3771076, -10.7404585, -35.3053436, -16.6641216
12508, -0.9337339, 10.6852674, 15.3946381, 1.7022901, -46.3511467, -11.0992365
12509, -0.8523315, 11.7458935, 15.7633438, 17.8091602, -60.8702278, -5.1297708
12510, -0.4764437, 12.8280668, 15.2342272, 32.2137413, -71.6946564, -0.5877863
12511, -0.0790083, 13.8096848, 14.4034433, 42.7862587, -82.4580154, 0.5877863
12512, 0.5793939, 15.0618458, 13.2757807, 45.7557259, -87.9694672, -2.6641221
12513, 0.8666966, 15.9357252, 11.9901009, 38.6030540, -85.0534363, -9.7557249
12514, 0.4118006, 16.4576588, 11.1521349, 24.7862587, -85.0381699, -18.1374054
12515, -0.3926471, 16.2637291, 10.8744087, 11.0458012, -89.3816757, -24.9847336
12516, -1.9225341, 15.7513723, 10.9629936, 6.1450381, -103.1221390, -24.8778629
12517, -3.1603301, 15.1001530, 10.7714586, 11.2442751, -119.5572510, -20.3435116
12518, -4.8338685, 13.8120794, 10.0005293, 27.1374054, -147.4045868, -10.0152674
12519, -5.1882086, 11.4873209, 8.0803890, 50.4885483, -183.1221313, 10.4427481
12520, -4.2927818, 8.5807753, 4.7548604, 64.9083939, -190.7480927, 41.7404594
12521, -2.3774302, 4.9224534, 1.0223188, 56.6946564, -158.6717529, 78.0916061
12522, 0.9337339, 0.1412572, -2.3343346, 31.6870232, -96.8320618, 112.6030502
12523, 5.2815819, -5.6957769, -4.0006905, -5.6717558, -31.0839691, 129.8625946
12524, 10.4362717, -12.3204985, -3.4404502, -39.0763359, 20.7633591, 119.9770966
